"","Name","Team","G","points","ADP"
"1","Ronald Acuña Jr.","ATL",152.134,565.421786252,1
"2","Juan Soto","NYY",152.908,516.922512314,11.1000003814697
"3","Spencer Strider","ATL",29.6326,504.1668,6.65000009536743
"4","Mookie Betts","LAD",149.026,489.871073058,5.28999996185303
"5","Freddie Freeman","LAD",153.356,484.704105062,8.85000038146973
"6","Kyle Tucker","HOU",151.261,482.490219301,6.21000003814697
"7","José Ramírez","CLE",151.241,478.825397942,15.1899995803833
"8","Gerrit Cole","NYY",30.6,467.4108,13.1000003814697
"9","Yordan Alvarez","HOU",138.83,463.981549242,16.8999996185303
"10","Matt Olson","ATL",152.697,455.99010476,17.3299999237061
"11","Vladimir Guerrero Jr.","TOR",153.178,452.512535078,31.6700000762939
"12","Aaron Judge","NYY",140.45,444.331043676,11.0600004196167
"13","Bobby Witt Jr.","KCR",151.598,442.82367329,2.40000009536743
"14","Shohei Ohtani","LAD",139.058,442.189879406,13.3999996185303
"15","Rafael Devers","BOS",149.022,434.659340796,24.079999923706
"16","Alex Bregman","HOU",148.83,431.384049298,102.669998168945
"17","Marcus Semien","TEX",153,429.037076693,30.579999923706
"18","Bryce Harper","PHI",146.533,426.484538336,18.1499996185303
"19","Kevin Gausman","TOR",29.5879,426.26935,27.8799991607666
"20","Fernando Tatis Jr.","SDP",147.971,426.076123208,7.92000007629395
"21","Pablo López","MIN",29.9517,423.21455,34.6699981689453
"22","Zack Wheeler","PHI",29.8811,422.5014,24.7099990844727
"23","Corbin Burnes","BAL",30.2827,422.3845,18.579999923706
"24","Luis Castillo","SEA",30.3129,419.86535,29.579999923706
"25","Corbin Carroll","ARI",148.031,418.234341228,4.98000001907349
"26","Pete Alonso","NYM",152.099,418.069443674,27.329999923706
"27","Austin Riley","ATL",152.565,417.420844101,19.9400005340576
"28","Ozzie Albies","ATL",147.664,412.327863436,22.7299995422363
"29","Julio Rodríguez","SEA",150.763,410.07750328,2.90000009536743
"30","Zac Gallen","ARI",30.2275,408.3603,39.3800010681152
"31","Corey Seager","TEX",129.212,407.902261232,26.9599990844727
"32","Framber Valdez","HOU",29.0094,407.50055,58.5400009155273
"33","Trea Turner","PHI",152.688,399.451479605,12.539999961853
"34","Aaron Nola","PHI",29.7133,398.19915,52.8499984741211
"35","Jose Altuve","HOU",139.253,394.379434543,43.2700004577637
"36","Logan Webb","SFG",30.1483,394.06085,54.7900009155273
"37","Francisco Lindor","NYM",152.52,391.112306251,23.6000003814697
"38","George Kirby","SEA",29.7658,390.19195,33.75
"39","Logan Gilbert","SEA",30.5735,386.06925,60.560001373291
"40","Luis Arraez","MIA",143.236,381.764426292,163.059997558594
"41","Nolan Arenado","STL",144.852,377.961721131,109.269996643066
"42","Yoshinobu Yamamoto","LAD",26.6822,376.8135,42.75
"43","Manny Machado","SDP",139.77,375.532072163,69.629997253418
"44","Freddy Peralta","MIL",28.3565,373.0214,55
"45","Ketel Marte","ARI",143.352,371.631910254,121.099998474121
"46","Kyle Schwarber","PHI",148.329,369.370338604,93.8300018310547
"47","Blake Snell","",27.9121,369.3555,68.0199966430664
"48","Michael Harris II","ATL",147.186,368.926921362,30.3099994659424
"49","Yandy Díaz","TBR",136.501,367.255959592,139.850006103516
"50","Christian Walker","ARI",148.59,366.967426077,96.2099990844727
"51","Gleyber Torres","NYY",146.435,366.889025085,85.7699966430664
"52","Nico Hoerner","CHC",146.323,365.1244967,65.5999984741211
"53","Bo Bichette","TOR",146.018,364.945134384,39.6699981689453
"54","Max Fried","ATL",27.6194,364.15245,62.1500015258789
"55","Paul Goldschmidt","STL",147.464,361.723425544,86.129997253418
"56","Bryan Reynolds","PIT",147.622,361.167726755,93.7099990844727
"57","Vinnie Pasquantino","KCR",131.863,359.915391659,184.330001831055
"58","Adley Rutschman","BAL",142.626,359.001610379,52.4799995422363
"59","Zach Eflin","TBR",28.2666,357.80653525,81.379997253418
"60","Jesús Luzardo","MIA",28.8173,357.38225,81.879997253418
"61","Tarik Skubal","DET",27.5745,356.3027,49.9599990844727
"62","Tyler Glasnow","LAD",23.9801,355.94565,40.5999984741211
"63","Xander Bogaerts","SDP",147.95,354.055445294,111.769996643066
"64","Jung Hoo Lee","SFG",134.23,353.39309688,257.920013427734
"65","Josh Naylor","CLE",133.143,351.9951375,124.769996643066
"66","Masataka Yoshida","BOS",135.389,351.734556112,193.830001831055
"67","Cody Bellinger","",136.472,351.606905668,64.0599975585938
"68","Randy Arozarena","TBR",147.719,349.002563352,46.6300010681152
"69","Joe Ryan","MIN",27.9591,348.43775,84.6699981689453
"70","Edwin Díaz","NYM",60.1642,346.98605,42.4199981689453
"71","Steven Kwan","CLE",140.163,344.178112596,219.130004882812
"72","Justin Steele","CHC",29.0659,343.90115,101.169998168945
"73","Gunnar Henderson","BAL",143.066,343.3682968,31.3099994659424
"74","Dylan Cease","CHW",30.2997,343.1737,108.629997253418
"75","Christian Yelich","MIL",145.069,341.66266692,82.0199966430664
"76","Tanner Bibee","CLE",27.958,340.7959,108.769996643066
"77","Grayson Rodriguez","BAL",28.3596,340.19205,999
"78","Devin Williams","MIL",62.492,339.7431,41.8499984741211
"79","Brandon Nimmo","NYM",144.877,339.207566496,201.149993896484
"80","Royce Lewis","MIN",131.373,336.1456542,55.0200004577637
"81","Joe Musgrove","SDP",25.9694,336.0999,94.2900009155273
"82","Luis Robert Jr.","CHW",142.774,334.559364072,34.9799995422363
"83","Spencer Torkelson","DET",147.818,334.158789096,121.940002441406
"84","Anthony Santander","BAL",140.387,333.831968904,142.809997558594
"85","Triston Casas","BOS",141.801,333.35000036,110.959999084473
"86","Mike Trout","LAA",124.665,333.045780816,73.2099990844727
"87","Chris Bassitt","TOR",29.1342,332.54585,136.100006103516
"88","Adolis García","TEX",146.881,332.34979205,48.9000015258789
"89","Jhoan Duran","MIN",60.7934,331.0647,50.5999984741211
"90","Merrill Kelly","ARI",29.4945,330.86545,148.580001831055
"91","George Springer","TOR",133.205,330.728079322,123.099998474121
"92","Nathaniel Lowe","TEX",151.197,326.633262072,211.380004882812
"93","Shane Bieber","CLE",26.4461,326.40615,165.190002441406
"94","Josh Hader","HOU",59.6849,326.22755,46.9199981689453
"95","Ian Happ","CHC",148.966,326.210855719,160.600006103516
"96","Bobby Miller","LAD",26.4448,325.8825,999
"97","Seiya Suzuki","CHC",134.96,325.256006332,111.379997253418
"98","Dansby Swanson","CHC",151.223,325.037751513,122.169998168945
"99","CJ Abrams","WSN",146.88,323.822970454,40.0999984741211
"100","Will Smith","LAD",124.946,321.688662576,87.4599990844727
"101","Sonny Gray","STL",27.8967,320.17225,117.400001525879
"102","Emmanuel Clase","CLE",65.1507,320.1517,52.2099990844727
"103","William Contreras","MIL",140.802,319.17248596,79.0400009155273
"104","Nolan Jones","COL",138.631,318.514866275,56.5800018310547
"105","Alec Bohm","PHI",141.378,317.4708969,172.440002441406
"106","Mitch Keller","PIT",30.0213,316.6321,168.190002441406
"107","Jordan Montgomery","",28.1451,316.17525,150.630004882812
"108","José Berríos","TOR",29.2709,316.0765,166.630004882812
"109","Marcell Ozuna","ATL",130.195,316.075017215,167.710006713867
"110","Isaac Paredes","TBR",132.147,313.445268824,186.059997558594
"111","Nick Pivetta","BOS",30.2861,313.076845,166.580001831055
"112","Kodai Senga","NYM",24.3797,312.14555,72.5400009155273
"113","Willy Adames","MIL",145.348,311.929444312,179.059997558594
"114","Hunter Greene","CIN",26.8106,311.5743,140.190002441406
"115","J.P. Crawford","SEA",145.222,311.259588225,275.100006103516
"116","Josh Bell","MIA",140.929,311.205731221,286.329986572266
"117","Max Muncy","LAD",129.459,311.19860268,182.210006713867
"118","Cole Ragans","KCR",27.3901,308.15655,107.879997253418
"119","Andrés Giménez","CLE",143.122,307.426555332,103.879997253418
"120","Bryson Stott","PHI",141.349,306.952318728,109.580001831055
"121","Andrew Vaughn","CHW",142.93,306.38642247,240.809997558594
"122","Nick Castellanos","PHI",143.752,305.634760888,113.830001831055
"123","Spencer Steer","CIN",135.509,305.16613777,114.330001831055
"124","Eduardo Rodriguez","ARI",27.9776,304.46045,196.380004882812
"125","Rhys Hoskins","MIL",133.415,304.105648154,184.190002441406
"126","Cristian Javier","HOU",28.3269,303.55845,184.419998168945
"127","Camilo Doval","SFG",62.3181,303.32075,55.5999984741211
"128","Taylor Ward","LAA",126.958,302.833407487,232.350006103516
"129","Ha-Seong Kim","SDP",144.631,302.598163439,88.7699966430664
"130","David Bednar","PIT",61.0906,302.038,61.689998626709
"131","TJ Friedl","CIN",130.122,302.017954982,156.350006103516
"132","Cedric Mullins","BAL",137.756,302.014127459,147.059997558594
"133","Carlos Correa","MIN",134.508,301.556074115,251.979995727539
"134","Hunter Brown","HOU",30.1384,301.2143,171.130004882812
"135","Ke'Bryan Hayes","PIT",136.577,300.350514115,167.630004882812
"136","Jeff McNeil","NYM",133.53,299.261362212,292.829986572266
"137","Matt McLain","CIN",131.952,298.397897238,66.6500015258789
"138","Jorge Soler","SFG",129.518,297.795672664,173.100006103516
"139","Raisel Iglesias","ATL",59.1283,296.6551,58.4000015258789
"140","Tommy Edman","STL",133.343,295.69598114,172.169998168945
"141","Lourdes Gurriel Jr.","ARI",130.204,295.393093709,236.770004272461
"142","Jake Cronenworth","SDP",140.643,295.257367006,358.940002441406
"143","Bailey Ober","MIN",27.4241,295.0228,140.25
"144","Alexis Díaz","CIN",64.3356,295.02185,74.0800018310547
"145","Justin Verlander","HOU",24.8733,294.9944,124.080001831055
"146","Tanner Scott","MIA",65.926,294.90615,97
"147","Sal Frelick","MIL",132.582,293.582601408,290.899993896484
"148","Braxton Garrett","MIA",28.2392,293.2934,184.100006103516
"149","Michael King","SDP",31.5892,292.446455,139.399993896484
"150","Oneil Cruz","PIT",131.722,291.323721008,82.629997253418
"151","Pete Fairbanks","TBR",53.7606,290.66155,86.8499984741211
"152","Paul Sewald","ARI",61.8654,290.5384,83.7900009155273
"153","Carlos Rodón","NYY",24.905,290.31205,144.479995727539
"154","Charlie Morton","ATL",26.0772,289.2321,232.899993896484
"155","Lars Nootbaar","STL",122.058,288.64590048,208.039993286133
"156","José Abreu","HOU",136.923,288.139315061,286.440002441406
"157","Jordan Romano","TOR",57.1171,287.3093,68.4599990844727
"158","Ty France","SEA",144.47,286.669011376,314.329986572266
"159","Evan Phillips","LAD",59.8247,286.29975,91.5599975585938
"160","Shota Imanaga","CHC",25.0837,286.1271,999
"161","Jake Burger","MIA",141.293,286.06471846,155.309997558594
"162","Lane Thomas","WSN",141.111,285.299479881,116.599998474121
"163","Jazz Chisholm Jr.","MIA",130.4,284.180814446,74.4000015258789
"164","Eloy Jiménez","CHW",125.01,284.077788856,240.130004882812
"165","Jeimer Candelario","CIN",131.102,283.8693862,215.229995727539
"166","Max Kepler","MIN",126.286,283.788936384,278.459991455078
"167","Eury Pérez","MIA",25.3852,283.5727,78.4800033569336
"168","Alex Verdugo","NYY",125.427,282.8598227,315.579986572266
"169","Keibert Ruiz","WSN",123.511,282.402531444,167.479995727539
"170","Lucas Giolito","BOS",28.6853,281.54705,226.210006713867
"171","Andrew Benintendi","CHW",135.121,281.415289731,379.690002441406
"172","Ryan Helsley","STL",57.3556,281.0352,91.7300033569336
"173","Riley Greene","DET",136.946,280.416751,170.130004882812
"174","Yu Darvish","SDP",23.5691,280.38,188.5
"175","Yusei Kikuchi","TOR",28.033,279.42569175,233.649993896484
"176","Evan Carter","TEX",136.36,279.078646194,131.75
"177","Chris Sale","ATL",23.0273,278.92415,131.520004272461
"178","Clay Holmes","NYY",61.319,278.5592,105.209999084473
"179","Josh Jung","TEX",138.263,278.28915245,115.169998168945
"180","Vaughn Grissom","BOS",131.823,278.28043563,227.880004882812
"181","Ezequiel Tovar","COL",145.09,278.152666473,189.289993286133
"182","Andrés Muñoz","SEA",56.7598,276.33205,82.7900009155273
"183","Daulton Varsho","TOR",138.75,276.252631332,217.059997558594
"184","Thairo Estrada","SFG",132.786,275.717729697,133.399993896484
"185","Nathan Eovaldi","TEX",24.9337,275.5391,209.440002441406
"186","José Alvarado","PHI",62.8375,273.7895,161.580001831055
"187","Luis Rengifo","LAA",131.599,273.605875876,240.350006103516
"188","Teoscar Hernández","LAD",132.39,273.581860428,128.080001831055
"189","Jeremy Peña","HOU",143.569,272.612094772,213.809997558594
"190","Jonathan India","CIN",122.542,272.118078492,248.130004882812
"191","J.T. Realmuto","PHI",132.652,271.925493627,73.5400009155273
"192","Anthony Volpe","NYY",142.425,271.917390903,134.330001831055
"193","Reid Detmers","LAA",26.9126,271.9084,229.979995727539
"194","Bryan De La Cruz","MIA",137.822,271.071090495,278.309997558594
"195","Kerry Carpenter","DET",128.768,270.41889804,226.039993286133
"196","Adbert Alzolay","CHC",57.082,270.17225,114.559997558594
"197","Justin Turner","TOR",119.573,269.70632408,251.479995727539
"198","Josh Lowe","TBR",133.782,269.6673687,79.1699981689453
"199","Gavin Williams","CLE",26.495,269.48665,166.960006713867
"200","Jon Gray","TEX",27.3083,269.4574,315.75
"201","Jorge Polanco","SEA",125.131,269.427853208,252.710006713867
"202","Jordan Walker","STL",131.076,269.181184813,127.540000915527
"203","Kenley Jansen","BOS",58.8016,268.1223,114.480003356934
"204","Ryan McMahon","COL",143.072,267.46906308,227.330001831055
"205","Nestor Cortes","NYY",26.2832,267.30135,254.350006103516
"206","Aaron Civale","TBR",25.4936,266.3899,203.270004272461
"207","Lance Lynn","STL",27.113,266.298,303.019989013672
"208","Ryan Pepiot","TBR",28.1322,266.21185,194.690002441406
"209","Ryan Mountcastle","BAL",124.936,265.688071084,244.229995727539
"210","Elly De La Cruz","CIN",132.642,265.48071159,26.2900009155273
"211","Wilmer Flores","SFG",114.873,264.905266147,349.149993896484
"212","Bryan Woo","SEA",31.0099,264.2823,175.419998168945
"213","MJ Melendez","KCR",131.081,264.20332864,296.579986572266
"214","Salvador Perez","KCR",131.305,262.500884424,137.059997558594
"215","Griffin Canning","LAA",24.7648,262.4285,269.290008544922
"216","Yainer Diaz","HOU",116.578,261.536370713,111.019996643066
"217","Sean Murphy","ATL",117.67,261.51558349,145.729995727539
"218","Brendan Rodgers","COL",121.773,260.446612589,350.269989013672
"219","Brandon Drury","LAA",126.646,260.091225157,219.600006103516
"220","Austin Hays","BAL",133.841,259.558370184,320.769989013672
"221","Marcus Stroman","NYY",26.5173,258.89955,272
"222","Mark Canha","DET",126.765,258.726039808,422.380004882812
"223","Anthony Rizzo","NYY",120.27,258.436947401,283.519989013672
"224","Triston McKenzie","CLE",24.94,258.41895,232.649993896484
"225","Matt Chapman","",124.994,258.032066042,279.149993896484
"226","Nolan Gorman","STL",129.359,257.652831312,192.520004272461
"227","Bryce Miller","SEA",25.4827,257.0619,179.190002441406
"228","Craig Kimbrel","BAL",63.4669,256.9485,102.040000915527
"229","Kyle Harrison","SFG",25.5437,256.86415,273.579986572266
"230","JP Sears","OAK",28.4065,256.7155,377.630004882812
"231","Willson Contreras","STL",118.709,256.502221328,139.229995727539
"232","Chas McCormick","HOU",129.52,256.440225256,171.270004272461
"233","Tyler O'Neill","BOS",124.956,256.05816352,219.710006713867
"234","Jarren Duran","BOS",129.04,255.98208432,156.649993896484
"235","Christopher Morel","CHC",129.037,255.725836887,199.630004882812
"236","Sean Manaea","NYM",29.7117,255.155835,320.059997558594
"237","Dean Kremer","BAL",27.4909,254.97105,324.269989013672
"238","Kris Bryant","COL",113.662,254.47780586,284.5
"239","Ranger Suárez","PHI",26.5207,253.122925,343.769989013672
"240","Jackson Chourio","MIL",125.593,252.139809945,137.380004882812
"241","Brayan Bello","BOS",27.7702,252.1185,225.210006713867
"242","Orlando Arcia","ATL",127.818,252.027168665,328.670013427734
"243","Zack Gelof","OAK",135.783,251.06721158,136.229995727539
"244","Jonah Heim","TEX",122.747,250.674761783,174.039993286133
"245","Charlie Blackmon","COL",107.753,250.61715744,440.559997558594
"246","Nolan Schanuel","LAA",115.293,250.599983275,422.829986572266
"247","Kyle Gibson","STL",29.0168,250.3219,431.059997558594
"248","Noelvi Marte","CIN",120.346,250.164836656,164.440002441406
"249","Zach Neto","LAA",132.241,250.14562775,268.290008544922
"250","Brendan Donovan","STL",113.198,249.995923226,293.420013427734
"251","Maikel Garcia","KCR",130.637,249.2108185,214.330001831055
"252","Eugenio Suárez","ARI",140.97,249.1094175,278.350006103516
"253","Carlos Santana","MIN",114.799,248.191139728,410.690002441406
"254","Brandon Pfaadt","ARI",25.5404,247.7142,203.039993286133
"255","J.D. Martinez","",108.406,246.79202342,246.020004272461
"256","Joey Meneses","WSN",134.44,246.196125544,373.519989013672
"257","Brandon Lowe","TBR",113.798,246.079578085,268.380004882812
"258","Logan O'Hoppe","LAA",112.489,245.503118216,153.039993286133
"259","LaMonte Wade Jr.","SFG",117.081,245.49627821,388.290008544922
"260","Miles Mikolas","STL",28.3935,244.53275,412.75
"261","Taj Bradley","TBR",36.5843,244.4356,248.190002441406
"262","Cal Raleigh","SEA",127.946,244.295955104,142.899993896484
"263","Joc Pederson","ARI",111.031,242.959571757,407.709991455078
"264","Kenta Maeda","DET",28.117,242.55495,246.350006103516
"265","Jack Suwinski","PIT",127.966,242.531902368,243.960006713867
"266","Luis García Jr.","WSN",115.11,242.00849082,396.170013427734
"267","Hunter Renfroe","KCR",116.158,241.881600138,375.880004882812
"268","MacKenzie Gore","WSN",26.0888,241.8488,287.709991455078
"269","Walker Buehler","LAD",21.1621,241.6,168.899993896484
"270","Andrew Abbott","CIN",24.2437,240.9705,286.040008544922
"271","Christian Encarnacion-Strand","CIN",108.989,240.747103775,171.539993286133
"272","Logan Allen","CLE",25.3788,238.94665,347.149993896484
"273","Gabriel Moreno","ARI",123.705,238.31413689,152.460006713867
"274","Edward Cabrera","MIA",25.0226,237.35995,288.809997558594
"275","DJ LeMahieu","NYY",118.954,236.7911239,359.959991455078
"276","Brady Singer","KCR",27.5494,236.53105,453
"277","Dane Dunning","TEX",28.8798,236.4502,369.459991455078
"278","Clarke Schmidt","NYY",27.151,236.4162982,352.630004882812
"279","Edouard Julien","MIN",131.003,235.988098884,217.25
"280","Esteury Ruiz","OAK",125.284,235.078246015,130.880004882812
"281","Jarred Kelenic","ATL",125.941,234.997935691,224.649993896484
"282","Anthony Rendon","LAA",102.958,234.50429539,449.380004882812
"283","Tommy Pham","",117.69,234.501093824,321.959991455078
"284","Patrick Sandoval","LAA",26.4566,234.30815,434.420013427734
"285","Cristopher Sánchez","PHI",30.3739,234.19699215,234.580001831055
"286","Wyatt Langford","TEX",103.503,233.643142111,166.039993286133
"287","Byron Buxton","MIN",105.561,233.550268,265.829986572266
"288","Jameson Taillon","CHC",26.1067,233.02231,314.100006103516
"289","Colt Keith","DET",119.051,232.791519304,999
"290","Trevor Story","BOS",121.873,232.029501008,170.25
"291","Francisco Alvarez","NYM",123.821,231.853549308,155.539993286133
"292","Jose Quintana","NYM",26.3389,230.77755,418.019989013672
"293","Alek Thomas","ARI",125.409,230.504523375,340.290008544922
"294","Taijuan Walker","PHI",27.5011,230.39355,422.079986572266
"295","Jackson Holliday","BAL",118.386,229.23888834,206.539993286133
"296","Kutter Crawford","BOS",32.1957,228.52325,260.380004882812
"297","Starling Marte","NYM",111.91,228.184846725,226.630004882812
"298","Michael Conforto","SFG",115.761,227.07074892,424.329986572266
"299","Alex Lange","DET",62.2791,226.5187,183.149993896484
"300","Seth Lugo","KCR",25.8971,226.2041639,261.829986572266
"301","Gavin Lux","LAD",112.011,225.33980366,267.079986572266
"302","Nick Lodolo","CIN",26.2927,224.2724,240.380004882812
"303","Leody Taveras","TEX",122.723,224.220618647,267.230010986328
"304","Luis Campusano","SDP",113.45,223.650112516,192.919998168945
"305","Louie Varland","MIN",35.2482,222.95765,315.769989013672
"306","Andrew Heaney","TEX",27.208,222.9001,368.649993896484
"307","Andrew McCutchen","PIT",108.064,222.66150839,582.809997558594
"308","James Outman","LAD",129.745,221.946586172,197.25
"309","Yoán Moncada","CHW",131.029,220.428974707,374.850006103516
"310","Mike Yastrzemski","SFG",118.324,220.125272704,499.380004882812
"311","Masyn Winn","STL",121.485,219.800430368,362.709991455078
"312","Whit Merrifield","PHI",101.318,218.98117921,281.940002441406
"313","Tim Anderson","MIA",125.19,218.790169764,354.540008544922
"314","Reese Olson","DET",24.2872,217.94825,287.75
"315","DL Hall","MIL",36.3239,216.49147,342.709991455078
"316","Javier Báez","DET",132.062,216.107710272,392.850006103516
"317","Parker Meadows","DET",123.469,215.870226954,285.209991455078
"318","Giancarlo Stanton","NYY",104.427,215.121169016,310.100006103516
"319","Rowdy Tellez","PIT",107.101,214.778691108,427.480010986328
"320","José Leclerc","TEX",59.2494,214.5893,184.940002441406
"321","Frankie Montas","CIN",22.474,213.5647,331.850006103516
"322","Jake Fraley","CIN",99.3106,213.349046978,333.079986572266
"323","Jurickson Profar","SDP",112.187,212.850778806,665.880004882812
"324","Michael Wacha","KCR",23.7947,212.4767,287.899993896484
"325","Seth Brown","OAK",117.672,212.08711075,463.829986572266
"326","Robert Suarez","SDP",58.5384,211.6069,218
"327","Jack Flaherty","DET",25.0513,211.409,379.170013427734
"328","Kyle Finnegan","WSN",64.6903,210.88235,231.899993896484
"329","Bo Naylor","CLE",115.678,210.104297384,163.710006713867
"330","Tyler Anderson","LAA",26.2866,209.6156,594.559997558594
"331","Mitch Garver","SEA",102.991,209.602256704,184.809997558594
"332","Josiah Gray","WSN",28.2531,209.55625,398.670013427734
"333","Tanner Houck","BOS",34.7874,209.548395,409.380004882812
"334","Kyle Bradish","BAL",17.9003,208.91275,126.379997253418
"335","Jesús Sánchez","MIA",116.566,208.813393604,394.899993896484
"336","Steven Matz","STL",27.8001,208.19505,356.690002441406
"337","Brent Rooker","OAK",127.598,207.922757268,309.040008544922
"338","Alejandro Kirk","TOR",95.5849,207.852769784,268.25
"339","Amed Rosario","TBR",97.3451,207.378080368,345
"340","Zack Littell","TBR",30.0604,206.04659155,366.230010986328
"341","Danny Jansen","TOR",95.3716,205.954815976,264.309997558594
"342","Michael Massey","KCR",111.363,204.550503744,399.350006103516
"343","Matt Brash","SEA",58.2358,204.20285,258.100006103516
"344","Harrison Bader","NYM",106.605,204.035959231,366.75
"345","Henry Davis","PIT",108.855,203.851878975,240.039993286133
"346","Brice Turang","MIL",118,203.232826962,332.440002441406
"347","Mason Miller","OAK",51.0488,203.0272,216.880004882812
"348","Wilyer Abreu","BOS",110.594,201.787993185,385.149993896484
"349","Geraldo Perdomo","ARI",118.717,201.47874603,428.730010986328
"350","Elias Díaz","COL",115.346,201.32573365,257.579986572266
"351","Willi Castro","MIN",112.434,201.084881941,288.019989013672
"352","Mitch Haniger","SEA",110.463,201.07785237,404.079986572266
"353","Brandon Marsh","PHI",124.969,200.813168751,355.5
"354","Keaton Winn","SFG",28.0793,200.0616705,409.790008544922
"355","Yuki Matsui","SDP",59.5539,198.9433,999
"356","Hunter Harvey","WSN",57.9872,198.61535,265.25
"357","Nelson Velázquez","KCR",105.178,198.461046784,278.190002441406
"358","Colin Rea","",29.9386,197.17135,518.559997558594
"359","Robert Stephenson","LAA",58.3035,196.38835,195.559997558594
"360","Chris Paddack","MIN",25.6365,196.37305,292.829986572266
"361","Carlos Estévez","LAA",62.2721,196.28865,246.039993286133
"362","Jordan Westburg","BAL",110.378,195.503079912,317
