"","name","team","position","points"
"297","Nick Maton","DET","OF",-8.32037406546739
"298","Jacob Stallings","PIT","C",-8.70456420871557
"299","Nick Allen","OAK","SS",-9.64097369924429
"300","Martín Maldonado","HOU","C",-10.0493137546391
"301","Jacob deGrom","TEX","P",10.9763059929637
"302","Gerrit Cole","NYY","P",9.59880782267252
"303","Corbin Burnes","MIL","P",9.02832557991015
"304","Carlos Rodón","NYY","P",8.78043329186591
"305","Max Scherzer","NYM","P",8.76843949922866
"306","Shane McClanahan","TBR","P",8.26655382836123
"307","Aaron Nola","PHI","P",7.53393143663428
"308","Justin Verlander","NYM","P",7.45673689508457
"309","Shane Bieber","CLE","P",7.08228799395701
"310","Edwin Díaz","NYM","P",6.65350479972034
"311","Spencer Strider","ATL","P",6.62524078379929
"312","Sandy Alcantara","MIA","P",6.60598152676737
"313","Luis Castillo","SEA","P",6.59992428630626
"314","Tyler Glasnow","TBR","P",6.59042038638188
"315","Kevin Gausman","TOR","P",6.32542454909903
"316","Zack Wheeler","PHI","P",6.22644461947279
"317","Brandon Woodruff","MIL","P",6.00972788883497
"318","Robbie Ray","SEA","P",5.68774333387621
"319","Framber Valdez","HOU","P",5.65029066644321
"320","Yu Darvish","SDP","P",5.40724156656124
"321","Dylan Cease","CHW","P",5.34413446223005
"322","Clayton Kershaw","LAD","P",5.2286661154807
"323","Joe Musgrove","SDP","P",5.19490955521597
"324","Nick Lodolo","CIN","P",5.00486337912638
"325","Blake Snell","SDP","P",4.94060737038962
"326","Andrés Muñoz","SEA","P",4.88645183632841
"327","Max Fried","ATL","P",4.76964834013049
"328","Josh Hader","SDP","P",4.60321053286755
"329","Chris Sale","BOS","P",4.35499860208495
"330","Zac Gallen","ARI","P",4.3358296726458
"331","Emmanuel Clase","CLE","P",4.29957995768236
"332","Lance Lynn","CHW","P",4.2589027943389
"333","Alek Manoah","TOR","P",4.1959673493526
"334","Hunter Greene","CIN","P",4.01797802963661
"335","Logan Gilbert","SEA","P",3.98237463437461
"336","Andrew Heaney","TEX","P",3.86655306594349
"337","Julio Urías","LAD","P",3.7817676985943
"338","Alex Cobb","SFG","P",3.66572316766734
"339","Cristian Javier","HOU","P",3.64913568286498
"340","Jordan Montgomery","STL","P",3.6317626411221
"341","Triston McKenzie","CLE","P",3.57322121973907
"342","Pablo López","MIN","P",3.52732047004744
"343","Logan Webb","SFG","P",3.49164798089236
"344","Nestor Cortes","NYY","P",3.47752834426131
"345","Jhoan Duran","MIN","P",3.42817341531273
"346","Charlie Morton","ATL","P",3.40371994300004
"347","Luis Severino","NYY","P",3.34983509788666
"348","Ryan Helsley","STL","P",3.2403696657748
"349","Brady Singer","KCR","P",3.20104996451566
"350","George Kirby","SEA","P",2.97884764811914
"351","Jon Gray","TEX","P",2.93173281738258
"352","Pete Fairbanks","TBR","P",2.9034253057904
"353","Kodai Senga","NYM","P",2.83061134029705
"354","Drew Rasmussen","TBR","P",2.80513854748646
"355","Kyle Wright","ATL","P",2.73980683885405
"356","Ryan Pressly","HOU","P",2.65124184142841
"357","Patrick Sandoval","LAA","P",2.63574999614012
"358","Lucas Giolito","CHW","P",2.58497182365819
"359","Chris Bassitt","TOR","P",2.50809074974835
"360","Joe Ryan","MIN","P",2.50260638641139
"361","Miles Mikolas","STL","P",2.44239389271942
"362","Félix Bautista","BAL","P",2.39447234674927
"363","Raisel Iglesias","ATL","P",2.15417028560399
"364","Merrill Kelly","ARI","P",2.0465676165083
"365","Nathan Eovaldi","TEX","P",1.98421890068803
"366","Jeffrey Springs","TBR","P",1.87636101039701
"367","José Berríos","TOR","P",1.87135640863652
"368","Drew Rucinski","OAK","P",1.85008888839792
"369","Devin Williams","MIL","P",1.80374345247419
"370","Eduardo Rodriguez","DET","P",1.80361875063632
"371","Jordan Romano","TOR","P",1.7391253197114
"372","José Quintana","NYM","P",1.73119220020397
"373","Marcus Stroman","CHC","P",1.67006448445575
"374","Grayson Rodriguez","BAL","P",1.55905781220716
"375","Liam Hendriks","CHW","P",1.55181401563555
"376","Luis Garcia","HOU","P",1.51156789927827
"377","Jesús Luzardo","MIA","P",1.50764289167296
"378","Tyler Mahle","MIN","P",1.48365888630766
"379","Alex Wood","SFG","P",1.46949564739008
"380","Paul Sewald","SEA","P",1.40288073110735
"381","Dustin May","LAD","P",1.36580668080855
"382","Sean Manaea","SFG","P",1.3543724442297
"383","Jameson Taillon","CHC","P",1.2973154233999
"384","David Bednar","PIT","P",1.25291862035505
"385","Ranger Suárez","PHI","P",1.22741862376338
"386","Carlos Carrasco","NYM","P",1.21386819491109
"387","Tyler Anderson","LAA","P",1.21319611699508
"388","Martín Pérez","TEX","P",1.05862479783586
"389","Camilo Doval","SFG","P",1.02562137469343
"390","Frankie Montas","NYY","P",1.01553762751947
"391","Clay Holmes","NYY","P",0.982532440520615
"392","José Alvarado","PHI","P",0.950719189576156
"393","Steven Matz","STL","P",0.929025982134724
"394","Kenta Maeda","MIN","P",0.87039820971824
"395","Reid Detmers","LAA","P",0.852367166130077
"396","Ken Waldichuk","OAK","P",0.83085369147374
"397","Matthew Boyd","DET","P",0.779360028763916
"398","Lance McCullers Jr.","HOU","P",0.756540633542558
"399","Sonny Gray","MIN","P",0.701859275820115
"400","Zach Eflin","TBR","P",0.690439019730225
"401","A.J. Minter","ATL","P",0.605564126953551
"402","Trevor Rogers","MIA","P",0.590353017806419
"403","Freddy Peralta","MIL","P",0.58751947070214
"404","Justin Steele","CHC","P",0.413837350778203
"405","Jason Adam","TBR","P",0.368589228039532
"406","Kyle Gibson","BAL","P",0.305933037295376
"407","Aaron Ashby","MIL","P",0.297762611207069
"408","Garrett Whitlock","BOS","P",0.280638496251935
"409","JT Brubaker","PIT","P",0.189255908010085
"410","Taylor Rogers","SFG","P",0.173391160467768
"411","Jack Flaherty","STL","P",0.110649810301436
"412","Eric Lauer","MIL","P",0.0731423472722539
"413","Jalen Beeks","TBR","P",0.0610542839614937
"414","Kyle Bradish","BAL","P",-0.0200012986826393
"415","James Paxton","BOS","P",-0.0561757966141307
"416","Jorge López","MIN","P",-0.145619962919949
"417","Garrett Cleavinger","TBR","P",-0.145776054184112
"418","Ross Stripling","SFG","P",-0.152363283012896
"419","Adbert Alzolay","CHC","P",-0.172223110018662
"420","Caleb Thielbar","MIN","P",-0.181915645121228
"421","Aaron Civale","CLE","P",-0.237930359119161
"422","Brock Burke","TEX","P",-0.247469845931275
"423","Tony Gonsolin","LAD","P",-0.266172922914771
"424","Michael King","NYY","P",-0.268617878652095
"425","Evan Phillips","LAD","P",-0.313144670995067
"426","Roansy Contreras","PIT","P",-0.31393933503506
"427","Aaron Bummer","CHW","P",-0.316210472070375
"428","Michael Wacha","","P",-0.320233877720471
"429","Giovanny Gallegos","STL","P",-0.336528145227271
"430","Scott Barlow","KCR","P",-0.354808135973658
"431","Daniel Hudson","LAD","P",-0.356872912385285
"432","Hunter Brown","HOU","P",-0.368050374382245
"433","Spencer Turnbull","DET","P",-0.385441217111263
"434","Bryan Abreu","HOU","P",-0.404499778040679
"435","José Urquidy","HOU","P",-0.405301376653044
"436","DL Hall","BAL","P",-0.419989907808931
"437","Chris Martin","BOS","P",-0.46455486176227
"438","Matt Brash","SEA","P",-0.473774495862183
"439","Paul Blackburn","OAK","P",-0.478548043953357
"440","Reynaldo López","CHW","P",-0.491571723040056
"441","Nick Pivetta","BOS","P",-0.493187476944345
"442","Adam Wainwright","STL","P",-0.523379723319252
"443","Alex Vesia","LAD","P",-0.526258510995964
"444","Edward Cabrera","MIA","P",-0.527518802369902
"445","Cole Irvin","BAL","P",-0.542106345764855
"446","Trevor May","OAK","P",-0.546103820293325
"447","Kyle Finnegan","WSN","P",-0.563237196005178
"448","Sam Hentges","CLE","P",-0.589530194656722
"449","Patrick Corbin","WSN","P",-0.638278202886324
"450","Trevor Stephan","CLE","P",-0.639650569515838
"451","Collin McHugh","ATL","P",-0.691937083698754
"452","Kyle Muller","OAK","P",-0.712727951934505
"453","Matt Bush","MIL","P",-0.713451571604001
"454","Mitch Keller","PIT","P",-0.725929703848236
"455","Josiah Gray","WSN","P",-0.728746847038754
"456","Seth Lugo","SDP","P",-0.781219365451755
"457","Corey Kluber","BOS","P",-0.782611301129852
"458","Yusei Kikuchi","TOR","P",-0.804297485780866
"459","Joe Jiménez","ATL","P",-0.806091727566288
"460","Tylor Megill","NYM","P",-0.829416628274604
"461","Taijuan Walker","PHI","P",-0.838197235091083
"462","A.J. Puk","MIA","P",-0.87755624925577
"463","Alex Lange","DET","P",-0.893211701340812
"464","Robert Suarez","SDP","P",-0.894359579613817
"465","Kenley Jansen","BOS","P",-0.895964790568442
"466","Seranthony Domínguez","PHI","P",-0.928076824242777
"467","Cal Quantrill","CLE","P",-0.966892074305783
"468","José Leclerc","TEX","P",-1.01253737704445
"469","Brayan Bello","BOS","P",-1.01437078547082
"470","Tanner Scott","MIA","P",-1.02160223564393
"471","Joe Kelly","CHW","P",-1.02914918079415
"472","Germán Márquez","COL","P",-1.03386983877329
"473","Tanner Houck","BOS","P",-1.04331129576517
"474","Brusdar Graterol","LAD","P",-1.08466543106339
"475","Drew Smyly","CHC","P",-1.09852307397291
"476","Erik Swanson","TOR","P",-1.13635165789613
"477","Adrian Morejon","SDP","P",-1.1453293040822
"478","Diego Castillo","SEA","P",-1.14692307514792
"479","Tommy Kahnle","NYY","P",-1.15183922749223
"480","Kendall Graveman","CHW","P",-1.18653377108359
"481","Brandon Hughes","CHC","P",-1.21606169809654
"482","Jordan Hicks","STL","P",-1.26711583278472
"483","Jonathan Loáisiga","NYY","P",-1.26939008428738
"484","Héctor Neris","HOU","P",-1.27121098874687
"485","Mike Clevinger","CHW","P",-1.27636002243201
"486","Shintaro Fujinami","OAK",NA,-1.30344887851085
"487","James Karinchak","CLE","P",-1.32881350570413
"488","José Suarez","LAA","P",-1.34317922704669
"489","Nick Martinez","SDP","P",-1.34727459350997
"490","Hunter Harvey","WSN","P",-1.45517870995726
"491","Rafael Montero","HOU","P",-1.52964727929142
"492","Adam Ottavino","NYM","P",-1.53113028119214
"493","Shawn Armstrong","TBR","P",-1.54739273044887
"494","Brooks Raley","NYM","P",-1.54907495180605
"495","Marco Gonzales","SEA","P",-1.55222652558621
"496","Craig Kimbrel","PHI","P",-1.56820331556727
"497","Keegan Akin","BAL","P",-1.57512695136383
"498","Bailey Ober","MIN","P",-1.59859134008277
"499","JP Sears","OAK","P",-1.60093311036637
"500","Aroldis Chapman","KCR","P",-1.65887217144344
"501","Michael Kopech","CHW","P",-1.67693397620067
"502","Joe Mantiply","ARI","P",-1.67788843479732
"503","Gregory Soto","PHI","P",-1.77349839915261
"504","David Robertson","NYM","P",-1.77764040917982
"505","Braxton Garrett","MIA","P",-1.8167226733839
"506","Carlos Estévez","LAA","P",-1.84466867888866
"507","Alexis Díaz","CIN","P",-1.84713509124575
"508","Johnny Cueto","MIA","P",-1.86467502169168
"509","John Schreiber","BOS","P",-1.8761737411992
"510","Bryan Baker","BAL","P",-1.88407491223044
"511","Tarik Skubal","DET","P",-1.89432737357678
"512","Dean Kremer","BAL","P",-1.89644038189645
"513","MacKenzie Gore","WSN","P",-1.91239199786354
"514","Andrew Chafin","","P",-1.92873196110963
"515","Bailey Falter","PHI","P",-1.97472399789547
"516","Cionel Pérez","BAL","P",-1.99229441733706
"517","Emilio Pagán","MIN","P",-2.02822483670224
"518","Wandy Peralta","NYY","P",-2.05922532997371
"519","Jakob Junis","SFG","P",-2.15284211306423
"520","Zach Jackson","OAK","P",-2.19121081283246
"521","Andrew Bellatti","PHI",NA,-2.19327809066702
"522","Michael Lorenzen","DET","P",-2.20688946680083
"523","Anthony DeSclafani","SFG","P",-2.22619108208978
"524","Graham Ashcraft","CIN","P",-2.23793369945023
"525","Jake Odorizzi","TEX","P",-2.2480324742411
"526","Eli Morgan","CLE","P",-2.27197075219189
"527","Colin Poche","TBR","P",-2.28576652294559
"528","Cade Cavalli","WSN","P",-2.30406790841235
"529","Tyler Wells","BAL","P",-2.33555451403035
"530","Griffin Jax","MIN","P",-2.35102119492784
"531","Yimi Garcia","TOR","P",-2.39648982687037
"532","Kevin Ginkel","ARI","P",-2.41512933171092
"533","Daniel Bard","COL","P",-2.41629614237042
"534","Domingo Acevedo","OAK","P",-2.43144920332562
"535","Noah Syndergaard","LAD","P",-2.49239668848181
"536","Penn Murfee","SEA","P",-2.4976711561889
"537","Dylan Coleman","KCR","P",-2.50792294182792
"538","Zach Plesac","CLE","P",-2.5127112465629
"539","Caleb Ferguson","LAD","P",-2.5993891929064
"540","Steven Okert","MIA","P",-2.66044814594988
"541","Anthony Bass","TOR","P",-2.68243402431583
"542","Drew Smith","NYM",NA,-2.73511144933884
"543","Jake Diekman","CHW","P",-2.75451334434433
"544","Dylan Floro","MIA","P",-2.77717097834698
"545","Hoby Milner","MIL",NA,-2.79745403251446
"546","Dillon Tate","BAL","P",-2.80885386844274
"547","Domingo Germán","NYY","P",-2.81316603377954
"548","James Kaprielian","OAK","P",-2.88716258536775
"549","Peter Strzelecki","MIL","P",-2.88853783827174
"550","Michael Soroka","ATL","P",-2.90322522413388
"551","Matt Manning","DET","P",-2.95091804199791
"552","Jordan Lyles","KCR","P",-3.03187050021001
"553","Matt Barnes","MIA","P",-3.05977072459257
"554","Chris Flexen","SEA","P",-3.06058592343817
"555","Ryne Stanek","HOU","P",-3.07583868428495
"556","Steven Wilson","SDP","P",-3.08800371081105
"557","Rich Hill","PIT","P",-3.09018810130698
"558","Lou Trivino","NYY","P",-3.11726341623919
"559","Robert Stephenson","PIT","P",-3.13204147625947
"560","Andrew Painter","PHI","P",-3.13918232877111
"561","Andre Pallante","STL","P",-3.15534111273782
"562","Zack Greinke","KCR","P",-3.20510283580456
"563","Taylor Clarke","KCR","P",-3.25879892599524
"564","John Brebbia","SFG","P",-3.26425857893237
"565","Sam Moll","OAK",NA,-3.26479351547809
"566","Joely Rodríguez","BOS","P",-3.29909555278691
"567","Luis Ortiz","PIT","P",-3.3224363737232
"568","Madison Bumgarner","ARI","P",-3.34286876855106
"569","Jonathan Hernández","TEX","P",-3.35470066928275
"570","Dany Jiménez","OAK","P",-3.36349864478129
"571","Jason Foley","DET","P",-3.39243279066667
"572","Ryne Nelson","ARI","P",-3.41994005486163
"573","Jimmy Herget","LAA","P",-3.4415348214691
"574","Lucas Sims","CIN","P",-3.51477425408539
"575","Michael Fulmer","","P",-3.5221725972684
"576","Mike Minor","","P",-3.54731549890154
"577","Ryan Tepera","LAA","P",-3.55504014206354
"578","Mychal Givens","BAL","P",-3.59043890874686
"579","Wade Miley","MIL","P",-3.60080507208239
"580","Reiver Sanmartin","CIN","P",-3.62901542744964
"581","Luke Weaver","CIN","P",-3.63386298689546
"582","Kyle Hendricks","CHC","P",-3.66379313175267
"583","Keegan Thompson","CHC","P",-3.68433231096293
"584","Miguel Castro","ARI","P",-3.79919019195166
"585","Aaron Loup","LAA","P",-3.86682005727732
"586","Carl Edwards Jr.","WSN","P",-4.02975732863273
"587","Daniel Lynch","KCR","P",-4.07172266367603
"588","Vince Velasquez","PIT","P",-4.14444980749588
"589","Trevor Williams","WSN","P",-4.19363260743413
"590","José Cisnero","DET","P",-4.3506786427518
"591","Dylan Bundy","","P",-4.40465764938063
"592","Brad Boxberger","CHC","P",-4.49627445287014
"593","Kyle Freeland","COL","P",-4.4992049084254
"594","Wil Crowe","PIT","P",-4.59242512916946
"595","Ryan Yarbrough","KCR","P",-4.81087644187076
"596","Chase De Jong","PIT","P",-5.08387066210777
"597","Zach Davies","ARI","P",-5.45439245873167
"598","Antonio Senzatela","COL","P",-6.42927868215948
