playerid,Name,R,HR,RBI,RC,AVG,OPS,pr,bpr,count_pos,pos_SS,pos_CF,pos_RF,pos_1B,pos_C,pos_3B,pos_LF,pos_2B,pos_DH,adp,rank,dif
19251,Pete Alonso,1.557288145,2.834728769,2.541491573,2.276667908,0.390797368,2.910380718,10.84158159,10.92491492,1,0,0,0,1,0,0,0,0,0,42,36,6
9218,Paul Goldschmidt,1.870621084,1.617677124,1.612750879,2.147603951,1.661869815,2.378662652,9.619412611,9.702745945,1,0,0,0,1,0,0,0,0,0,45,41,4
13301,Max Muncy,1.139510894,1.617677124,1.354767354,1.26519381,-0.174175011,2.253184485,7.539855783,7.80652245,2,0,0,0,1,0,0,0,1,0,60,50,10
15676,José Abreu,1.400621676,1.617677124,2.283508047,1.697214216,0.841810631,1.456827716,7.627886516,7.711219849,1,0,0,0,1,0,0,0,0,0,65,51,14
18373,Ryan Mountcastle,0.982844425,1.617677124,1.509557469,1.137136822,0.528734882,0.797837685,6.757843329,7.407843329,3,0,0,0,1,0,0,1,0,1,166,55,111
13145,Josh Bell,1.139510894,1.49597196,1.8191377,1.632765352,0.831904176,1.909161113,7.1586783,7.242011634,1,0,0,0,1,0,0,0,0,0,76,56,20
16472,Rhys Hoskins,1.400621676,2.226202947,1.664347585,1.666243966,-0.814676517,2.377437474,6.850404235,6.933737569,1,0,0,0,1,0,0,0,0,0,120,58,62
12546,C.J. Cron,0.669511486,1.49597196,1.561154174,1.398884469,0.946660835,2.137152465,6.539562495,6.622895828,1,0,0,0,1,0,0,0,0,0,144,62,82
18036,Jake Cronenworth,1.139510894,0.035509986,0.632413481,1.101347048,1.259972215,0.663474496,5.271349906,5.871349906,3,1,0,0,1,0,0,0,1,0,91,67,24
4314,Joey Votto,1.035066581,1.49597196,1.354767354,1.496180453,0.074725604,1.871016616,5.657955673,5.741289006,1,0,0,0,1,0,0,0,0,0,124,69,55
18607,Jared Walsh,0.982844425,1.49597196,1.767540995,1.221964183,0.484253717,1.330604832,5.613407218,5.696740551,1,0,0,0,1,0,0,0,0,0,142,70,72
17982,Ty France,0.669511486,0.278920315,0.787203597,1.044912174,1.229270144,0.553252541,4.646767384,5.296767384,3,0,0,0,1,0,0,0,1,1,136,75,61
9874,DJ LeMahieu,0.982844425,-0.573015837,0.116446429,0.7375425,1.813717578,-0.208489253,3.311866417,4.311866417,3,0,0,0,1,0,1,0,1,0,64,88,-24
17988,Tyler Stephenson,0.04284561,-0.329605508,-0.038343686,0.254568471,0.814181724,0.293924816,4.002076728,4.268743395,2,0,0,0,1,1,0,0,0,0,197,89,108
15149,Trey Mancini,0.930622268,0.887446137,0.993590417,1.188594748,0.591907059,0.566697543,3.489085278,3.822418612,2,0,0,0,1,0,0,0,0,1,174,96,78
11265,Jonathan Schoop,0.669511486,0.644035808,0.890397007,0.695410567,0.66166468,-0.335449911,3.309266765,3.575933432,2,0,0,0,1,0,0,0,1,0,196,102,94
3473,Anthony Rizzo,0.878400112,0.887446137,0.838800302,1.077000194,0.072522955,0.995664176,3.080060982,3.163394316,1,0,0,0,1,0,0,0,0,0,89,109,-20
10264,Brandon Belt,0.669511486,1.130856466,0.632413481,0.828831159,-0.228674178,1.57990732,2.943072841,3.026406174,1,0,0,0,1,0,0,0,0,0,247,113,134
12164,Miguel Sanó,0.878400112,1.982792618,1.303170648,0.756150795,-1.89791078,0.644822211,1.997652709,2.080986042,1,0,0,0,1,0,0,0,0,0,292,128,164
19566,Nathaniel Lowe,0.669511486,0.278920315,0.735606891,0.911647948,0.273361012,0.420356855,1.619631613,1.702964946,1,0,0,0,1,0,0,0,0,0,NA,133,#VALUE!
20325,Alex Kirilloff,-0.11382086,0.278920315,0.374429955,0.271090164,1.033083624,0.46333231,1.342264818,1.642264818,2,0,0,1,1,0,0,0,0,0,235,134,101
19966,Bobby Dalbec,0.147289922,1.49597196,0.941993712,0.481342751,-0.96432806,1.100416358,1.532913749,1.616247082,1,0,0,0,1,0,0,0,0,0,279,135,144
19198,Yuli Gurriel,0.460622861,-0.207900343,0.632413481,0.631323894,1.550477886,0.102515027,1.499679911,1.583013244,1,0,0,0,1,0,0,0,0,0,114,136,-22
16578,Yandy Díaz,-0.11382086,-0.573015837,-0.141537096,0.22194489,0.848260419,0.229817848,0.91446994,1.481136607,2,0,0,0,1,0,1,0,0,0,NA,138,#VALUE!
5827,Wilmer Flores,-0.531598111,-0.207900343,-0.296327212,-0.2825587,0.647038217,0.304577078,0.076051504,1.076051504,3,0,0,0,1,0,1,0,1,0,297,146,151
14811,Luke Voit,0.095067766,0.887446137,0.632413481,0.376043675,-0.332555499,0.822619387,0.811262053,0.894595386,1,0,0,0,1,0,0,0,0,0,234,152,82
11342,Jesús Aguilar,-0.009376547,0.522330644,0.941993712,0.389636722,0.057838629,0.222482207,0.455132472,0.538465806,1,0,0,0,1,0,0,0,0,0,256,154,102
18126,LaMonte Wade Jr.,-0.218265172,-0.207900343,-0.399520622,-0.274261146,-0.595652463,-0.104038903,-1.615583727,-1.015583727,3,0,0,1,1,0,0,1,0,0,NA,188,#VALUE!
13419,Christian Walker,0.147289922,0.035509986,0.32283325,0.165274348,-0.235609693,-0.259862435,-1.494337516,-1.411004183,1,0,0,0,1,0,0,0,0,0,NA,194,#VALUE!
3516,Eric Hosmer,-0.166043016,-0.207900343,0.32283325,0.121896087,0.596765616,-0.506278183,-1.508499484,-1.425166151,1,0,0,0,1,0,0,0,0,0,282,195,87
15679,Rowdy Tellez,-0.479375954,0.278920315,0.064849724,-0.196088589,-0.11612306,0.405551903,-1.712038558,-1.628705224,1,0,0,0,1,0,0,0,0,0,NA,200,#VALUE!
9929,Darin Ruf,-1.001597518,-0.329605508,-0.812294264,-0.735854886,-0.153234416,0.551667677,-2.296863991,-2.030197324,2,0,0,0,1,0,0,1,0,0,NA,209,#VALUE!
12775,Brad Miller,-0.479375954,0.15721515,-0.399520622,-0.489008087,-0.838460754,0.155612913,-2.858308044,-2.558308044,2,0,0,1,1,0,0,0,0,0,NA,225,#VALUE!
2396,Carlos Santana,0.04284561,0.15721515,0.21963984,0.248909512,-1.227203216,-0.458895592,-2.687261591,-2.603928257,1,0,0,0,1,0,0,0,0,0,192,226,-34
10815,Jurickson Profar,-0.374931642,-0.816426166,-0.657504148,-0.549902141,-0.982176203,-1.184683288,-4.04411608,-2.977449414,4,0,1,1,1,0,0,1,0,0,NA,234,#VALUE!
5452,Ji-Man Choi,-0.531598111,-0.207900343,-0.193133802,-0.339803973,-1.056997796,-0.233543695,-4.232750614,-4.149417281,1,0,0,0,1,0,0,0,0,0,NA,262,#VALUE!
1744,Miguel Cabrera,-0.792708893,-0.451310672,-0.038343686,-0.380588015,-0.17046214,-1.054743656,-4.557929957,-4.224596623,2,0,0,0,1,0,0,0,0,1,310,264,46
16909,Colin Moran,-1.001597518,-0.451310672,-0.451117328,-0.760178396,-0.073744249,-0.29188027,-4.699601328,-4.616267995,1,0,0,0,1,0,0,0,0,0,NA,269,#VALUE!
17278,Bobby Bradley,-0.479375954,0.522330644,0.064849724,-0.576238403,-1.991334662,-0.614932136,-4.744473682,-4.661140348,1,0,0,0,1,0,0,0,0,0,NA,270,#VALUE!
20003,Keston Hiura,-1.158263988,-0.451310672,-0.967084379,-1.161788003,-0.868400964,-0.216976791,-6.493597692,-6.410264358,1,0,0,0,1,0,0,0,0,0,NA,283,#VALUE!
17710,Matt Beaty,-1.941596334,-1.424951988,-1.792631662,-1.924784735,-0.058091362,-0.293596048,-7.251597206,-6.651597206,3,0,0,1,1,0,0,1,0,0,NA,286,#VALUE!
sa3004138,Nick Pratto,-1.2627083,-0.694721001,-1.07027779,-1.246142703,-0.836990071,-0.292221773,-7.072834533,-6.9895012,1,0,0,0,1,0,0,0,0,0,NA,290,#VALUE!
12325,Jace Peterson,-1.784929864,-1.424951988,-1.792631662,-1.761811669,-0.537763814,-0.613261208,-7.831653079,-7.231653079,3,0,0,1,1,0,0,0,1,0,NA,292,#VALUE!
sa3007634,Triston Casas,-1.889374177,-1.303246824,-1.792631662,-1.805555424,-0.191789452,-0.077577567,-8.729948001,-8.646614668,1,0,0,0,1,0,0,0,0,0,NA,298,#VALUE!
1177,Albert Pujols,-2.202707116,-1.059836495,-1.689438252,-2.012655776,-0.413526957,-0.518430787,-9.566368277,-9.483034943,1,0,0,0,1,0,0,0,0,0,NA,302,#VALUE!